Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,part,0,38468.0,4059.762,0.116,-0.943,0.765,0.697,275.986,274.132,221.312
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,1,80.0,42.142,0.95,-1.303,0.86,0.526,18.844,5.889,10.093
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,2,54.0,28.314,0.865,-1.335,0.9,0.643,12.049,6.051,8.292
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,3,183.0,61.799,0.902,-1.413,0.906,0.587,24.715,10.688,15.264
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,4,166.0,69.77,0.967,-1.21,0.869,0.357,30.78,7.81,14.538
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,5,150.0,53.456,0.89,1.062,0.932,0.536,21.481,9.781,13.82
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,6,324.0,72.77,0.331,-1.279,0.936,0.614,21.985,20.742,20.311
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,7,150.0,65.113,0.961,-1.228,0.882,0.398,27.811,7.72,13.82
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,8,328.0,72.77,0.511,1.349,0.948,0.625,23.13,19.886,20.436
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,9,339.0,79.355,0.73,0.304,0.924,0.571,26.844,18.351,20.776
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,10,436.0,85.497,0.657,1.049,0.944,0.581,28.493,21.47,23.561
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,11,261.0,77.497,0.923,-0.765,0.909,0.402,31.144,11.986,18.23
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,12,361.0,98.876,0.945,0.262,0.896,0.432,40.278,13.193,21.439
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,13,243.0,86.734,0.967,0.244,0.884,0.445,37.039,9.416,17.59
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,14,322.0,84.77,0.904,-1.209,0.925,0.514,32.981,14.084,20.248
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,15,126.0,56.77,0.959,-0.848,0.894,0.333,25.122,7.1,12.666
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,16,583.0,110.569,0.89,-1.099,0.93,0.508,42.642,19.443,27.245
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,17,559.0,100.326,0.757,-1.215,0.947,0.575,34.734,22.677,26.678
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,18,186.0,59.799,0.913,-0.001,0.93,0.676,25.015,10.202,15.389
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,19,591.0,111.497,0.893,-1.11,0.943,0.534,43.343,19.529,27.431
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,20,435.0,85.841,0.446,0.602,0.942,0.62,26.242,23.483,23.534
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,21,235.0,68.527,0.894,0.604,0.925,0.515,27.342,12.227,17.298
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,22,341.0,76.184,0.738,0.94,0.942,0.593,26.582,17.947,20.837
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,23,365.0,84.184,0.79,0.535,0.917,0.572,29.331,17.989,21.558
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,24,103.0,41.107,0.84,0.157,0.896,0.644,16.285,8.833,11.452
2024-03-26_14-19-54-164_MV540-H@xWyHvMbxwzDCYCHtB+sRAABu.bmp,top_left,void,25,480.0,89.841,0.538,0.703,0.97,0.613,28.697,24.189,24.722
