Image name,Position,Region type,ID,Area [pixels],Perimeter [pixels],Eccentricity,Orientation [radians],Solidity,Extent,Major Axis Length [pixels],Minor Axis Length [pixels],Equivalent Diameter [pixels]
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,part,0,37885.0,4247.703,0.103,-0.567,0.747,0.722,279.213,277.742,219.629
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,1,69.0,35.142,0.848,-1.274,0.841,0.548,13.898,7.361,9.373
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,2,87.0,43.728,0.951,-1.331,0.888,0.544,19.849,6.164,10.525
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,3,196.0,76.355,0.965,-1.289,0.879,0.412,32.6,8.579,15.797
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,4,190.0,63.213,0.895,-1.477,0.892,0.562,24.793,11.037,15.554
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,5,153.0,54.284,0.891,1.001,0.927,0.51,21.767,9.896,13.957
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,6,365.0,77.012,0.227,1.347,0.946,0.608,22.943,22.342,21.558
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,7,171.0,68.698,0.957,-1.301,0.895,0.46,29.078,8.433,14.755
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,8,378.0,79.012,0.53,1.198,0.945,0.609,25.007,21.209,21.938
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,9,366.0,81.941,0.726,0.253,0.931,0.594,27.759,19.084,21.587
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,10,482.0,89.497,0.686,1.03,0.96,0.598,30.487,22.171,24.773
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,11,304.0,82.912,0.92,-0.815,0.927,0.402,33.413,13.127,19.674
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,12,402.0,108.255,0.947,0.221,0.897,0.441,43.093,13.817,22.624
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,13,280.0,94.562,0.969,0.197,0.889,0.455,40.743,10.021,18.881
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,14,372.0,92.598,0.909,-1.296,0.914,0.515,35.991,15.008,21.763
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,15,161.0,67.391,0.959,-0.921,0.875,0.322,28.967,8.194,14.318
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,16,630.0,108.326,0.773,-1.265,0.943,0.577,37.715,23.941,28.322
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,17,644.0,117.154,0.893,-1.144,0.936,0.523,45.283,20.356,28.635
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,18,179.0,60.349,0.917,-0.041,0.904,0.626,25.163,10.028,15.097
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,19,279.0,75.355,0.898,0.596,0.936,0.511,30.198,13.258,18.848
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,20,637.0,117.497,0.891,-1.182,0.941,0.536,44.957,20.4,28.479
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,21,457.0,85.598,0.382,0.566,0.96,0.651,26.406,24.406,24.122
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,22,390.0,79.941,0.753,0.979,0.947,0.652,28.561,18.799,22.284
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,23,404.0,86.941,0.785,0.525,0.937,0.586,30.8,19.066,22.68
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,24,408.0,84.184,0.789,1.493,0.951,0.638,30.448,18.704,22.792
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,25,93.0,42.142,0.861,0.131,0.861,0.547,16.241,8.274,10.882
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,26,364.0,85.841,0.859,1.206,0.926,0.525,31.764,16.258,21.528
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,27,494.0,91.841,0.572,0.664,0.957,0.608,29.509,24.208,25.079
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,28,137.0,54.799,0.925,-0.211,0.907,0.571,22.435,8.52,13.207
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,29,385.0,82.184,0.772,0.605,0.953,0.594,29.395,18.68,22.14
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,30,431.0,84.426,0.638,-0.354,0.954,0.625,28.12,21.648,23.426
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,31,474.0,90.426,0.668,0.342,0.944,0.612,30.265,22.53,24.567
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,32,338.0,85.74,0.905,0.986,0.926,0.422,33.926,14.46,20.745
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,33,512.0,96.912,0.761,0.954,0.945,0.593,33.865,21.975,25.532
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,34,1.0,0.0,0.0,-0.785,1.0,1.0,0.0,0.0,1.128
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,35,233.0,65.077,0.863,1.401,0.959,0.64,25.659,12.964,17.224
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,36,18.0,17.414,0.993,0.616,0.75,0.205,14.005,1.618,4.787
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,37,153.0,53.663,0.855,-1.239,0.905,0.535,20.444,10.593,13.957
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,38,110.0,49.556,0.944,1.521,0.948,0.655,21.891,7.223,11.835
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,39,274.0,71.598,0.829,1.323,0.938,0.612,26.446,14.785,18.678
2024-05-22_17-22-26-218_MV540-H@EOaAFjS1zEFNUIvQPhvsAA24.bmp,top_left,void,40,190.0,64.527,0.93,1.265,0.927,0.522,26.949,9.933,15.554
